fincode,name
217639,Cash & Cash Equivalent
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217285,Reverse Repo
217287,Net Current Asset
217824,Other Derivaties
217639,Cash & Cash Equivalent
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217286,CBLO
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217640,Call Money
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217641,Other Assets
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
217286,CBLO
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
217640,Call Money
218038,Repo Instruments
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
217640,Call Money
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217824,Other Derivaties
217639,Cash & Cash Equivalent
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217640,Call Money
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
217285,Reverse Repo
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
217639,Cash & Cash Equivalent
217640,Call Money
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217640,Call Money
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217285,Reverse Repo
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
217640,Call Money
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217286,CBLO
218038,Repo Instruments
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217286,CBLO
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217824,Other Derivaties
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
317873,AMC Repo Clearing Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217641,Other Assets
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
217640,Call Money
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
217640,Call Money
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
218038,Repo Instruments
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
218038,Repo Instruments
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
217639,Cash & Cash Equivalent
217640,Call Money
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217285,Reverse Repo
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
217639,Cash & Cash Equivalent
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
217287,Net Current Asset
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217287,Net Current Asset
207979,Clearing Corporation Of India Ltd.
217287,Net Current Asset
293680,Tri-Party Repo (TREPS)
217639,Cash & Cash Equivalent
217287,Net Current Asset
